SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),367-369 Chadwick Ave,Newark,NJ,07112,390000,6,3.0,Newark,,3768,,51,,,Active,,,http://www.redfin.com/NJ/Newark/367-Chadwick-Ave-07112/unit-369/home/36283073,NJMLS,21001364,N,Y,40.713566,-74.2050795
MLS Listing,,Multi-Family (2-4 Unit),268 Chadwick Ave,Newark,NJ,07108,355000,7,3.0,Newark,,2940,,51,,,Active,,,http://www.redfin.com/NJ/Newark/268-Chadwick-Ave-07108/home/36274567,NJMLS,21001362,N,Y,40.7167829,-74.2029715
MLS Listing,,Multi-Family (2-4 Unit),369 CHADWICK Ave,Newark City,NJ,07108,390000,6,3.0,Newark City,29997,3920,1907,51,13,,Active,,,http://www.redfin.com/NJ/Newark-City/369-CHADWICK-AVE-07108/home/174161828,GSMLS,3686762,N,Y,40.713374,-74.204896
MLS Listing,,Single Family Residential,22-24 Pine Grove Ter,Newark,NJ,07106,219000,4,2.0,Newark,,3280,,52,,,Active,,,http://www.redfin.com/NJ/Newark/22-Pine-Grove-Ter-07106/home/36294241,NJMLS,21001305,N,Y,40.7443308,-74.2227071
MLS Listing,,Multi-Family (2-4 Unit),72 Garden St,Newark,NJ,07105,424999,3,2.0,Newark,,2139,,52,,,Active,,,http://www.redfin.com/NJ/Newark/72-Garden-St-07105/home/36252250,NJMLS,21001274,N,Y,40.7266781,-74.1679544
MLS Listing,,Single Family Residential,22 PINE GROVE Ter #1,Newark City,NJ,07106-1909,219000,4,2.0,Newark City,,3484,1922,52,,,Active,,,http://www.redfin.com/NJ/Newark/22-Pine-Grove-Ter-07106/unit-1/home/173690279,GSMLS,3686541,N,Y,40.7443594,-74.2227244
MLS Listing,,Townhouse,95 VAUGHAN Dr,Newark City,NJ,07103-3470,245000,2,1.5,Newark City,,307098,,53,,383,Active,,,http://www.redfin.com/NJ/Newark/95-Vaughan-Dr-07103/home/174151935,GSMLS,3686358,N,Y,40.7392354,-74.1832405
MLS Listing,,Single Family Residential,156-158 Brookdale Ave,Newark,NJ,07106,399999,4,2.5,Newark,,5001,,54,,,Active,,,http://www.redfin.com/NJ/Newark/156-Brookdale-Ave-07106/home/36295916,NJMLS,21001053,N,Y,40.7409277,-74.2286333
MLS Listing,,Multi-Family (2-4 Unit),132 Littleton Ave,Newark,NJ,07103,525000,9,4.0,Newark,,2500,,54,,,Active,,,http://www.redfin.com/NJ/Newark/132-Littleton-Ave-07103/home/36233865,NJMLS,21001043,N,Y,40.742476,-74.194126
MLS Listing,,Single Family Residential,175 Renner Ave,Newark,NJ,07112,140000,3,1.0,Newark,,3899,,55,,,Active,,,http://www.redfin.com/NJ/Newark/175-Renner-Ave-07112/home/36286630,NJMLS,21000987,N,Y,40.711892,-74.2066679
